,Company,TypeName,Ram,Weight,Price,TouchScreen,IPS,os,Cpu name,Gpu name,Size,HDD,SSD
163,Lenovo,Gaming,16,2.5,10.959350991490268,0,1,windows,Intel Core i7,Nvidia,141.21199808219862,0,256
164,Acer,Notebook,4,2.1,9.827763506006608,0,0,windows,other Intel processor,Intel,100.45466986113651,1000,0
165,MSI,Gaming,16,2.4,11.470547260182666,0,1,windows,Intel Core i7,Nvidia,141.21199808219862,1000,256
166,Acer,Notebook,4,2.1,9.871367833143674,0,0,windows,other Intel processor,Intel,100.45466986113651,1000,0
167,Dell,Gaming,8,2.56,10.942047370678033,0,0,windows,Intel Core i7,Nvidia,141.21199808219862,1000,128
168,Acer,Notebook,8,3.0,10.725492220020703,0,1,windows,Intel Core i5,Nvidia,127.33567457123111,0,256
169,HP,Notebook,4,1.49,10.60095339424009,0,1,windows,Intel Core i5,Intel,165.6321180513006,500,0
170,Huawei,Ultrabook,8,1.05,11.18267988243989,0,1,windows,Intel Core i5,Intel,199.69207064108247,0,256
171,HP,Notebook,6,2.71,10.525211768465944,0,1,windows,Intel Core i5,AMD,127.33567457123111,2000,0
172,Lenovo,Notebook,4,2.2,9.708902303129879,0,0,other/Linux/No OS,other/AMD,AMD,100.45466986113651,500,0
173,Toshiba,Notebook,4,2.0,10.167923515707006,0,0,windows,Intel Core i3,Intel,100.45466986113651,500,0
174,HP,Notebook,8,2.5,10.803190260734986,0,0,windows,Intel Core i5,Nvidia,127.33567457123111,0,256
175,Dell,Notebook,8,2.3,10.104611236292678,0,0,windows,Intel Core i3,Intel,100.45466986113651,1000,0
176,Acer,Notebook,4,2.1,10.082583913974387,0,0,windows,Intel Core i3,Intel,100.45466986113651,0,128
177,MSI,Gaming,32,4.4,11.912578515747587,0,0,windows,Intel Core i7,Nvidia,119.7232157653423,1000,512
178,Lenovo,Notebook,8,1.9,10.676292135779944,0,0,windows,Intel Core i5,AMD,141.21199808219862,1000,128
179,HP,2 in 1 Convertible,8,1.29,11.288114524334732,1,1,windows,Intel Core i5,Intel,162.40629351131793,0,256
180,Dell,Notebook,16,2.02,10.931153634628432,0,0,other/Linux/No OS,Intel Core i7,AMD,141.21199808219862,2000,256
181,Dell,Ultrabook,8,1.23,11.219074000897615,0,0,windows,Intel Core i5,Intel,165.6321180513006,0,256
182,Lenovo,2 in 1 Convertible,16,1.4,11.49796125761926,1,1,windows,Intel Core i7,Intel,155.39594990651284,0,512
183,Toshiba,Notebook,8,2.0,10.651384247866982,0,0,windows,Intel Core i5,Intel,100.45466986113651,0,128
184,Xiaomi,Notebook,8,1.95,11.064804181259648,0,1,other/Linux/No OS,Intel Core i5,Nvidia,141.21199808219862,0,256
185,Dell,Notebook,16,2.77,11.320925866649002,1,0,windows,Intel Core i7,Nvidia,127.33567457123111,0,512
186,Dell,Notebook,16,2.06,11.757534260666517,1,0,windows,Intel Core i7,Nvidia,138.46177587823902,0,512
187,Lenovo,Gaming,8,2.4,10.633572072102883,0,1,other/Linux/No OS,Intel Core i5,Nvidia,141.21199808219862,0,256
188,Acer,Ultrabook,8,1.12,10.872255357854845,0,1,windows,Intel Core i5,Intel,165.6321180513006,0,256
189,Dell,Notebook,8,2.8,10.964896292206694,0,0,windows,Intel Core i7,AMD,127.33567457123111,1000,128
190,Lenovo,2 in 1 Convertible,16,1.42,11.921470624845266,1,0,windows,Intel Core i7,Intel,209.8006828649808,0,1000
191,Vero,Notebook,4,1.3,9.536242657247662,0,1,windows,other Intel processor,Intel,157.3505121487356,0,0
192,Xiaomi,Ultrabook,8,1.3,10.883216300213936,0,1,other/Linux/No OS,Intel Core i5,Nvidia,165.6321180513006,0,256
193,Lenovo,Notebook,8,2.8,10.523780128994506,0,0,other/Linux/No OS,Intel Core i5,Nvidia,106.11306214269258,0,256
194,Dell,2 in 1 Convertible,8,1.62,10.70777173269934,1,1,windows,Intel Core i7,Intel,165.6321180513006,1000,0
195,HP,Notebook,8,2.5,10.793391597686284,0,1,windows,Intel Core i5,Nvidia,127.33567457123111,1000,0
196,Razer,Gaming,32,3.49,12.69144112852859,1,0,windows,Intel Core i7,Nvidia,124.85570541621553,0,1000
197,HP,Notebook,8,1.49,10.841452101115571,0,0,windows,Intel Core i5,Intel,165.6321180513006,0,512
198,HP,Gaming,16,3.35,11.204674904025435,0,1,windows,Intel Core i7,Nvidia,127.33567457123111,1000,256
199,HP,Notebook,8,2.5,10.927333190631044,0,0,windows,Intel Core i7,Nvidia,127.33567457123111,0,256
200,Dell,Gaming,16,2.65,11.495795582706762,0,1,windows,Intel Core i7,Nvidia,138.46177587823902,1000,512
201,Lenovo,Notebook,4,2.1,10.176070200274824,0,0,windows,Intel Core i5,Intel,100.45466986113651,0,128
202,Acer,Notebook,8,2.23,10.584910269399515,0,0,windows,Intel Core i7,Nvidia,141.21199808219862,1000,0
203,Lenovo,Gaming,16,3.2,11.442360501250736,0,1,windows,Intel Core i7,Nvidia,141.21199808219862,1000,512
204,Dell,Workstation,16,2.8,12.000095897837829,0,0,windows,other Intel processor,Nvidia,138.46177587823902,1000,256
205,Lenovo,Gaming,16,2.4,11.21835894902589,0,0,other/Linux/No OS,Intel Core i7,Nvidia,141.21199808219862,0,512
206,Dell,Notebook,6,2.3,10.060060439307305,1,0,windows,Intel Core i3,Intel,100.45466986113651,1000,0
207,Dell,Ultrabook,8,1.21,11.550632725739694,1,1,windows,Intel Core i7,Intel,162.40629351131793,0,256
208,Dell,Ultrabook,8,1.2,11.254189968552817,0,0,windows,Intel Core i7,Intel,165.6321180513006,0,256
209,Lenovo,Notebook,8,2.2,10.367478139624735,0,0,windows,Intel Core i5,Intel,100.45466986113651,0,256
210,Acer,Notebook,8,2.4,10.633572072102883,0,0,other/Linux/No OS,Intel Core i7,Nvidia,141.21199808219862,1000,0
211,Asus,Gaming,16,2.9,11.224776083346523,0,0,windows,Intel Core i7,Nvidia,127.33567457123111,1000,256
212,HP,Notebook,4,2.1,9.83063294843456,0,0,other/Linux/No OS,Intel Core i3,Intel,141.21199808219862,500,0
213,Lenovo,Notebook,8,2.2,10.283659467741664,0,0,other/Linux/No OS,Intel Core i5,Intel,141.21199808219862,0,256
214,Huawei,Ultrabook,8,1.05,11.288114524334732,0,1,windows,Intel Core i7,Intel,199.69207064108247,0,512
215,Dell,Ultrabook,8,1.4,10.812765077263235,0,1,windows,Intel Core i7,AMD,165.6321180513006,0,256
216,Lenovo,Notebook,8,2.8,10.353987209883721,0,0,other/Linux/No OS,Intel Core i5,Nvidia,106.11306214269258,1000,0
217,HP,Notebook,8,1.63,10.913845510249093,0,0,windows,Intel Core i7,Nvidia,157.3505121487356,0,256
218,Dell,Ultrabook,8,1.6,11.02220830408089,0,0,windows,Intel Core i5,Intel,157.3505121487356,0,256
219,Dell,2 in 1 Convertible,16,1.62,11.129394827810977,1,0,windows,Intel Core i7,Intel,165.6321180513006,0,512
220,Dell,Notebook,8,2.2,10.493749152258879,0,0,other/Linux/No OS,Intel Core i5,AMD,141.21199808219862,0,256
221,Lenovo,2 in 1 Convertible,8,1.74,10.776844060703754,0,1,windows,Intel Core i5,Intel,157.3505121487356,0,256
222,Toshiba,Ultrabook,8,1.2,11.193004457928666,0,0,windows,Intel Core i7,Intel,165.6321180513006,0,256
223,HP,Notebook,8,2.1,10.65264448747927,0,0,windows,Intel Core i5,Intel,141.21199808219862,1000,0
224,Dell,Gaming,16,4.42,11.781988742399806,0,1,windows,Intel Core i7,Nvidia,127.33567457123111,1000,256
225,Acer,Notebook,8,2.2,10.699393467053342,0,0,windows,Intel Core i7,Nvidia,141.21199808219862,0,256
226,Dell,Notebook,16,2.3,10.731341589592168,1,0,windows,Intel Core i7,AMD,141.21199808219862,1000,0
227,Asus,Notebook,8,2.0,10.620651995737777,0,0,windows,Intel Core i5,Nvidia,141.21199808219862,0,256
228,Asus,Notebook,8,2.69,10.767905453702943,0,0,windows,Intel Core i5,Nvidia,127.33567457123111,500,256
229,HP,Notebook,8,1.9,11.12154549394652,0,0,windows,Intel Core i7,AMD,141.21199808219862,1000,0
230,Asus,Notebook,4,2.37,9.964497380151283,0,0,windows,Intel Core i3,Intel,100.45466986113651,1000,0
231,HP,Notebook,4,2.1,9.77465368069266,0,0,windows,other/AMD,AMD,100.45466986113651,500,0
232,Lenovo,Gaming,16,3.2,11.288114524334732,0,1,windows,Intel Core i7,Nvidia,141.21199808219862,1000,256
233,Dell,Notebook,8,1.6,10.73132994821639,0,0,windows,Intel Core i5,Intel,157.3505121487356,0,256
234,Acer,2 in 1 Convertible,8,1.6,10.510802297245792,1,1,windows,Intel Core i5,Intel,165.6321180513006,0,256
235,Dell,Notebook,16,2.36,10.776844060703754,0,0,other/Linux/No OS,Intel Core i7,AMD,141.21199808219862,0,256
236,Acer,Notebook,4,2.1,9.941707765355826,0,0,other/Linux/No OS,Intel Core i3,Intel,100.45466986113651,1000,0
237,Asus,Notebook,4,2.2,10.329931067029484,0,0,windows,other/AMD,AMD,141.21199808219862,1000,128
238,Asus,Gaming,32,4.7,12.241725462844625,0,0,windows,Intel Core i7,Nvidia,127.33567457123111,1000,512
239,Acer,Gaming,8,2.5,10.716080385838357,0,1,windows,Intel Core i5,Nvidia,141.21199808219862,0,256
240,Lenovo,Notebook,8,2.2,10.353987209883721,0,0,windows,Intel Core i3,Intel,100.45466986113651,0,128
241,Asus,Notebook,8,2.1,11.018720942220474,0,0,windows,Intel Core i7,Nvidia,127.33567457123111,1000,128
242,Asus,Notebook,8,2.69,10.765658261746038,0,0,other/Linux/No OS,Intel Core i7,Nvidia,127.33567457123111,1000,128
243,Dell,Gaming,8,2.56,10.754345923917311,0,0,windows,Intel Core i5,Nvidia,141.21199808219862,0,256
244,Lenovo,2 in 1 Convertible,8,1.38,10.959350991490268,1,1,windows,Intel Core i7,Intel,158.48253022174808,0,256
245,Dell,Notebook,8,2.2,10.868202667404223,0,0,windows,Intel Core i7,AMD,141.21199808219862,2000,128
246,HP,Notebook,8,2.04,10.301710499387234,1,0,windows,Intel Core i5,Intel,100.45466986113651,1000,0
247,Asus,Gaming,16,3.6,11.981595204981144,0,0,windows,Intel Core i7,Nvidia,127.33567457123111,0,256
248,HP,Notebook,4,1.49,10.490273717104664,0,1,windows,Intel Core i5,Intel,165.6321180513006,500,0
249,Apple,Ultrabook,8,1.37,11.596266113070396,0,1,Mac,Intel Core i5,Intel,226.98300468106115,0,512
250,Dell,2 in 1 Convertible,8,2.08,10.683645110085203,1,1,windows,Intel Core i7,Intel,141.21199808219862,1000,0
251,Asus,Gaming,16,4.3,11.470547260182666,0,0,windows,Intel Core i7,Nvidia,127.33567457123111,1000,256
252,Asus,Notebook,4,1.68,10.126163794678414,0,0,windows,other/AMD,AMD,100.45466986113651,1000,0
253,Lenovo,2 in 1 Convertible,8,1.37,11.49796125761926,1,1,windows,Intel Core i7,Intel,158.48253022174808,0,512
254,Acer,Notebook,4,3.0,10.529494430257945,0,1,windows,Intel Core i3,Nvidia,127.33567457123111,0,256
255,Dell,Ultrabook,8,1.41,10.830969824842061,0,0,windows,Intel Core i5,Intel,165.6321180513006,0,256
256,HP,Notebook,8,1.91,10.075655737865565,0,0,windows,other/AMD,AMD,100.45466986113651,0,128
257,HP,Notebook,16,2.9,10.94064137183354,0,1,windows,Intel Core i7,Nvidia,127.33567457123111,1000,0
258,MSI,Gaming,16,4.14,11.799206957067087,0,0,windows,Intel Core i7,Nvidia,127.33567457123111,1000,512
259,Lenovo,2 in 1 Convertible,8,2.0,11.413356147904066,1,1,windows,Intel Core i7,Nvidia,141.21199808219862,0,512
260,Dell,Notebook,8,2.8,11.016097416448089,0,0,windows,Intel Core i7,AMD,127.33567457123111,1000,128
261,Lenovo,Notebook,4,2.2,10.07138558866436,0,0,other/Linux/No OS,Intel Core i3,Intel,141.21199808219862,0,256
262,HP,Notebook,4,2.1,10.55758616512496,0,1,windows,Intel Core i5,Intel,141.21199808219862,500,0
263,Dell,Notebook,4,2.18,10.463245044716745,0,0,windows,Intel Core i5,Intel,141.21199808219862,1000,0
264,Dell,Notebook,8,2.24,10.312386757378574,0,0,windows,Intel Core i5,AMD,141.21199808219862,1000,0
265,Dell,2 in 1 Convertible,8,2.67,10.658921971998408,1,0,windows,Intel Core i5,Intel,141.21199808219862,0,256
266,Asus,2 in 1 Convertible,8,1.1,11.288114524334732,1,0,windows,Intel Core i7,Intel,165.6321180513006,0,1024
267,Lenovo,Notebook,4,2.2,10.121890283901031,0,0,other/Linux/No OS,Intel Core i5,Intel,141.21199808219862,1000,0
268,HP,Notebook,8,2.5,10.901156223342602,0,0,windows,Intel Core i7,Nvidia,127.33567457123111,1000,0
269,Lenovo,Notebook,8,2.05,10.755482933704386,0,0,windows,Intel Core i7,Intel,141.21199808219862,0,256
270,Apple,Ultrabook,8,1.37,11.555699396421488,0,1,Mac,Intel Core i5,Intel,226.98300468106115,0,512
271,Asus,Gaming,16,3.2,11.320925866649002,0,0,windows,other/AMD,AMD,127.33567457123111,1000,256
272,Dell,Notebook,8,2.14,10.57552675900535,0,0,other/Linux/No OS,Intel Core i7,AMD,141.21199808219862,0,256
273,Lenovo,2 in 1 Convertible,16,1.36,11.799206957067087,1,0,windows,Intel Core i7,Intel,209.8006828649808,0,512
274,Toshiba,Notebook,8,2.2,10.675061366393813,0,0,windows,Intel Core i7,Nvidia,100.45466986113651,500,0
275,Dell,Notebook,12,2.3,10.545140618545503,0,0,windows,Intel Core i7,Intel,100.45466986113651,1000,0
276,Dell,Notebook,8,2.8,10.977716980635755,0,0,other/Linux/No OS,Intel Core i7,AMD,127.33567457123111,1000,128
277,Acer,Notebook,8,2.2,10.588945244611693,0,1,windows,Intel Core i7,Nvidia,141.21199808219862,1000,0
278,Lenovo,Notebook,4,2.8,10.167923515707006,0,0,windows,Intel Core i3,Intel,106.11306214269258,1000,0
279,Lenovo,Notebook,8,2.8,10.71962021254348,0,0,other/Linux/No OS,Intel Core i7,Nvidia,127.33567457123111,2000,0
280,Lenovo,Notebook,6,2.8,10.73132994821639,0,0,windows,Intel Core i7,Nvidia,106.11306214269258,1000,128
281,Dell,Notebook,4,2.25,10.034684221813931,0,0,other/Linux/No OS,Intel Core i3,AMD,141.21199808219862,1000,0
282,Lenovo,Gaming,8,2.5,10.695781181367428,0,1,windows,Intel Core i5,Nvidia,141.21199808219862,0,256
283,Lenovo,Notebook,6,2.2,10.336863503805128,0,0,windows,Intel Core i5,Intel,141.21199808219862,0,256
284,Acer,Notebook,8,3.0,10.833075088777523,0,1,windows,Intel Core i7,Nvidia,141.21199808219862,0,256
285,Acer,Notebook,12,2.15,10.46628456073464,1,1,windows,Intel Core i7,Intel,141.21199808219862,1000,0
286,Lenovo,Notebook,8,1.95,10.975895486507364,0,1,windows,Intel Core i7,Intel,141.21199808219862,0,256
287,Asus,Ultrabook,8,1.7,10.860047678274917,0,0,windows,Intel Core i5,Nvidia,141.21199808219862,0,256
288,Lenovo,Gaming,16,2.5,11.047982926769505,0,1,windows,Intel Core i7,Nvidia,141.21199808219862,1000,256
289,Lenovo,Notebook,8,2.2,10.466299735126338,0,0,other/Linux/No OS,Intel Core i7,Nvidia,141.21199808219862,1000,0
290,Acer,Notebook,2,2.19,9.268865850956626,0,0,other/Linux/No OS,other Intel processor,Intel,100.45466986113651,0,16
291,Asus,Gaming,8,3.0,11.054745420841801,0,0,windows,Intel Core i7,Nvidia,127.33567457123111,1000,0
292,HP,Notebook,8,2.54,10.167923515707006,0,0,windows,Intel Core i3,Intel,106.11306214269258,1000,0
293,Dell,Notebook,8,2.0,11.487085674623,0,0,windows,Intel Core i7,Nvidia,141.21199808219862,0,256
294,Lenovo,Notebook,8,2.05,10.580858947180335,0,0,windows,Intel Core i5,Intel,141.21199808219862,0,256
295,Lenovo,Gaming,8,3.2,11.144911042902732,0,1,windows,Intel Core i7,Nvidia,141.21199808219862,1000,0
296,Acer,Notebook,8,2.5,10.862092668762644,0,0,other/Linux/No OS,Intel Core i7,Nvidia,141.21199808219862,0,256
297,Dell,Workstation,16,3.42,11.942792677133783,0,0,windows,Intel Core i7,Nvidia,127.33567457123111,0,256
298,Lenovo,Notebook,6,2.4,10.188167121983652,0,0,windows,other/AMD,AMD,141.21199808219862,1000,0
299,Asus,Ultrabook,16,1.63,11.267217235406594,0,0,windows,Intel Core i7,Nvidia,141.21199808219862,0,512
300,Asus,Notebook,4,1.3,10.208009042782656,0,0,windows,Intel Core i3,Intel,111.93520355955211,0,128
301,Asus,Gaming,16,2.9,11.635675345406062,0,0,windows,Intel Core i7,Nvidia,127.33567457123111,1000,256
302,Lenovo,Notebook,6,2.8,10.450993742936223,0,0,windows,Intel Core i5,Nvidia,106.11306214269258,1000,0
303,Lenovo,Notebook,8,2.2,10.283659467741664,0,0,other/Linux/No OS,Intel Core i5,Nvidia,100.45466986113651,2000,0
304,Asus,Gaming,8,2.5,11.118388427393754,0,0,windows,Intel Core i7,Nvidia,141.21199808219862,1000,128
305,Lenovo,Notebook,4,2.2,9.861637279518702,0,0,other/Linux/No OS,other Intel processor,Intel,100.45466986113651,1000,0
306,HP,2 in 1 Convertible,16,1.28,11.563884703567355,1,0,windows,Intel Core i7,Intel,165.6321180513006,0,256
307,Toshiba,Notebook,8,2.2,10.925417481232905,0,1,windows,Intel Core i7,Nvidia,141.21199808219862,0,256
308,Lenovo,Notebook,8,2.3,10.683645110085203,0,0,windows,Intel Core i5,Nvidia,141.21199808219862,1000,128
309,HP,Notebook,4,1.86,10.126163794678414,0,0,windows,Intel Core i3,Intel,141.21199808219862,1000,0
310,Lenovo,Notebook,8,1.1,10.882315804880687,0,1,windows,Intel Core i5,Intel,165.6321180513006,0,256
311,Dell,Ultrabook,16,1.21,11.799206957067087,1,1,windows,Intel Core i7,Intel,162.40629351131793,0,1000
312,MSI,Gaming,16,2.8,11.624777346052767,0,1,windows,Intel Core i7,Nvidia,141.21199808219862,1000,256
313,Acer,Notebook,8,2.23,10.126163794678414,0,0,windows,other/AMD,AMD,141.21199808219862,0,256
314,Asus,2 in 1 Convertible,2,1.1,9.592332123898705,1,0,windows,other Intel processor,Intel,135.0942111925629,0,0
315,Dell,Notebook,8,2.33,10.71371352082809,0,0,windows,Intel Core i5,AMD,141.21199808219862,1000,128
316,HP,2 in 1 Convertible,16,1.29,11.778996083184301,1,1,windows,Intel Core i7,Intel,162.40629351131793,0,1000
317,Lenovo,Notebook,4,1.45,10.106570100778011,0,0,other/Linux/No OS,other Intel processor,Intel,117.82653006268643,0,0
318,HP,Notebook,8,1.95,10.863113597896751,0,0,windows,Intel Core i5,Intel,157.3505121487356,0,256
319,Acer,Notebook,4,1.4,10.159709917169616,0,0,windows,other Intel processor,Intel,135.0942111925629,0,0
320,HP,Notebook,8,1.48,11.13950771057468,0,0,windows,Intel Core i7,Intel,157.3505121487356,0,256
321,Lenovo,Notebook,4,2.79,10.353987209883721,0,0,windows,Intel Core i5,Nvidia,106.11306214269258,1000,0
322,Asus,Notebook,8,2.0,10.97315700921406,0,0,windows,Intel Core i7,Intel,157.3505121487356,0,256
323,HP,Notebook,8,2.1,10.780175546294757,0,1,windows,Intel Core i7,Intel,100.45466986113651,1000,0
324,Acer,Notebook,8,2.2,10.46628456073464,0,0,windows,other/AMD,AMD,100.45466986113651,0,256
325,Lenovo,Notebook,4,1.44,9.652314828500415,0,0,windows,other Intel processor,Intel,111.93520355955211,0,0
326,Acer,Notebook,6,2.23,10.283659467741664,0,0,windows,Intel Core i5,Intel,100.45466986113651,1000,0
327,Asus,Ultrabook,8,1.7,10.93201122675303,0,0,windows,Intel Core i7,Nvidia,141.21199808219862,0,256
328,HP,Ultrabook,8,1.26,11.172247597066484,0,0,windows,Intel Core i7,Intel,176.23257360658386,0,256
329,Dell,Notebook,32,2.06,11.853716362735458,1,0,windows,Intel Core i7,Nvidia,138.46177587823902,0,1000
330,MSI,Gaming,8,2.7,11.064804181259648,0,0,windows,Intel Core i7,Nvidia,127.33567457123111,1000,256
331,Toshiba,Notebook,8,2.0,10.82462730886559,0,1,windows,Intel Core i5,Intel,141.21199808219862,0,256
332,Asus,Notebook,8,2.0,11.171498252707703,0,0,windows,Intel Core i7,Intel,157.3505121487356,1000,256
333,Lenovo,Notebook,4,1.85,10.082583913974387,0,0,windows,Intel Core i3,Intel,141.21199808219862,1000,0
334,Asus,Gaming,8,2.5,10.882315804880687,0,0,windows,Intel Core i7,Nvidia,141.21199808219862,0,256
335,HP,Notebook,8,1.48,11.120757161229305,0,0,windows,Intel Core i5,Intel,157.3505121487356,0,256
336,Dell,Ultrabook,8,1.9,10.931153634628432,0,1,windows,Intel Core i5,Nvidia,141.21199808219862,1000,128
337,HP,Notebook,8,1.84,11.017847198171877,0,0,windows,Intel Core i5,Intel,141.21199808219862,0,256
338,Asus,Notebook,4,2.0,9.592295759601168,0,0,other/Linux/No OS,other Intel processor,Intel,100.45466986113651,1000,0
339,Dell,Notebook,8,2.0,11.016753943443987,0,0,windows,Intel Core i5,Nvidia,141.21199808219862,0,256
340,Dell,Notebook,4,2.2,9.591968421403333,0,0,other/Linux/No OS,other Intel processor,Intel,100.45466986113651,500,0
341,Lenovo,Notebook,12,2.2,10.776844060703754,0,0,windows,other/AMD,AMD,141.21199808219862,2000,0
